 TYPE	 PROD	               ASSET	             ValueVE	            ValueVEc	              SaveVE	             endoKVE	          SearchWWVE
    0	    1	  27.019283795861874	 -10.639521992305873	 -10.639521992305873	  28.981154114112261	  32.798514619505163	   0.100785451794892
    0	    1	  27.828925619832713	 -10.546166657368159	 -10.546166657368159	  29.830777779439565	  33.774272308366271	   0.099345085545160
    0	    1	  28.661962755685852	 -10.453482186074634	 -10.453482186074634	  30.704221962201217	  34.778046574970695	   0.097910890524884
    0	    1	  29.519071231514047	 -10.361465222476079	 -10.361465222476079	  31.602123854817879	  35.810642811157734	   0.096483180639321
    0	    1	  30.400946609835739	 -10.270112254410163	 -10.270112254410163	  32.525236515631342	  36.872889577393181	   0.095062118599399
    0	    1	  31.308304552059560	 -10.179419172396001	 -10.179419172396001	  33.474268188593207	  37.965639269712987	   0.093647993308102
    0	    1	  32.241881399259285	 -10.089381499361904	 -10.089381499361904	  34.450078585996856	  39.089768805875323	   0.092240908215238
    0	    1	  33.202434769730999	  -9.999993888850341	  -9.999993888850341	  35.453209200912582	  40.246180331275163	   0.090841442797744
    0	    1	  34.190744173817144	  -9.911251204928899	  -9.911251204928899	  36.485137010953821	  41.435801945190569	   0.089448954135157
    0	    1	  35.207611646496368	  -9.823144077837547	  -9.823144077837547	  37.545371553716876	  42.659588447946568	   0.088065458388452
    0	    1	  36.253862398252807	  -9.735671663748215	  -9.735671663748215	  38.637471373417824	  43.918522109599650	   0.086687813152844
    0	    1	  37.330345484752499	  -9.648808450797940	  -9.648808450797940	  39.758877941611367	  45.213613460762510	   0.085320627126129
    0	    1	  38.437934495871005	  -9.562571745552912	  -9.562571745552912	  40.909838436461577	  46.545902106207805	   0.083965194479368
    0	    1	  39.577528264630907	  -9.476897936293305	  -9.476897936293305	  42.102542518401037	  47.916457561906768	   0.082462630506774
    0	    1	  40.750051596624701	  -9.391821053381831	  -9.391821053381831	  43.318860290359211	  49.326380116178257	   0.080898190897421
    0	    1	  41.956456020515084	  -9.307388771312173	  -9.307388771312173	  44.569103844394640	  50.776801715643124	   0.079346025570769
    0	    1	  43.197720560221484	  -9.223599534404176	  -9.223599534404176	  45.854158418480417	  52.268886876698559	   0.077805339555099
    0	    1	  44.474852529419636	  -9.140452573862207	  -9.140452573862207	  47.174956141223788	  53.803833623248011	   0.076276437256764
    0	    1	  45.788888348999080	  -9.057947654073871	  -9.057947654073871	  48.532707746050285	  55.382874451443492	   0.074760296000112
    0	    1	  47.140894388141525	  -8.976086562469641	  -8.976086562469641	  49.963257284109361	  57.007277322218293	   0.073221681397257
    0	    1	  48.531967829703191	  -8.894870402663956	  -8.894870402663956	  51.435867545695537	  58.678346682411586	   0.071696535330935
    0	    1	  49.963237560602892	  -8.814296058281812	  -8.814296058281812	  52.951042489289847	  60.397424515308408	   0.070186535797171
    0	    1	  51.435865087938907	  -8.734358713099121	  -8.734358713099121	  54.509996808355105	  62.165891421443256	   0.068692340404538
    0	    1	  52.951045481577594	  -8.655053528111960	  -8.655053528111960	  56.114012293304775	  63.985167730539061	   0.067214611286215
    0	    1	  54.510008343979123	  -8.576373739175491	  -8.576373739175491	  57.764369623893437	  65.856714645479258	   0.065754048186370
    0	    1	  56.114018808047234	  -8.498313124752864	  -8.498313124752864	  59.431511194281796	  67.782035419236180	   0.064337538086172
    0	    1	  57.764378563812329	  -8.420860851237393	  -8.420860851237393	  61.133294826604754	  69.762676565704936	   0.062948908052075
    0	    1	  59.462426914782107	  -8.344012607444141	  -8.344012607444141	  62.882872140906912	  71.800229105421295	   0.061577579196756
    0	    1	  61.209541864815861	  -8.267764862664723	  -8.267764862664723	  64.681558249618789	  73.896329847167664	   0.060223914707748
    0	    1	  63.007141236405005	  -8.192113577867250	  -8.192113577867250	  66.530812160883428	  76.052662706502076	   0.058888120956321
    0	    1	  64.856683821267822	  -8.117054460562647	  -8.117054460562647	  68.432071323414036	  78.270960062275194	   0.057570205293886
    0	    1	  66.759670564190785	  -8.042583593878447	  -8.042583593878447	  70.386747524624795	  80.553004152228269	   0.056270478630906
    0	    1	  68.717645781079014	  -7.968696880603079	  -7.968696880603079	  72.396419922736627	  82.900628508801148	   0.054989159058914
    0	    1	  70.732198412202351	  -7.895387869387765	  -7.895387869387765	  74.463031608593340	  85.315719436306438	   0.053726120779217
    0	    1	  72.804963311656010	  -7.822655396464727	  -7.822655396464727	  76.587155069655623	  87.800217530664867	   0.052482199078404
    0	    1	  74.937622574080706	  -7.750490399843307	  -7.750490399843307	  78.772210739971001	  90.356119242926567	   0.051256545215932
    0	    1	  77.131906899719596	  -7.678888812235718	  -7.678888812235718	  81.018406073815925	  92.985478487841306	   0.050049996330923
    0	    1	  79.389596998920211	  -7.607855926724660	  -7.607855926724660	  83.330489236432754	  95.690408298776475	   0.048851323693691
    0	    1	  81.712525037219976	  -7.537368633403084	  -7.537368633403084	  85.701420555532508	  98.473082530317640	   0.047616452233984
    0	    1	  84.102576122189461	  -7.467455147921868	  -7.467455147921868	  88.138836377397951	 101.335737609927676	   0.046402067754008
    0	    1	  86.561689833238859	  -7.398112467764254	  -7.398112467764254	  90.644575761399992	 104.280674340077169	   0.045208193128731
    0	    1	  89.091861795629356	  -7.329337439842624	  -7.329337439842624	  93.220571783294858	 107.310259752301420	   0.044034757223310
    0	    1	  91.695145299967734	  -7.261127178991424	  -7.261127178991424	  95.868707631613105	 110.426929014682003	   0.042881930338545
    0	    1	  94.373652968496771	  -7.193478659425832	  -7.193478659425832	  98.591143892566890	 113.633187394290673	   0.041749612675996
    0	    1	  97.129558469535269	  -7.126389081566718	  -7.126389081566718	 101.389709491923938	 116.931612276182221	   0.040637807584339
    0	    1	  99.965098281458040	  -7.059855594817673	  -7.059855594817673	 104.266824258421792	 120.324855240565029	   0.039546458152617
    0	    1	 102.882573507647322	  -6.993875073250283	  -6.993875073250283	 107.224516104005062	 123.815644199826394	   0.038475574426053
    0	    1	 105.884351743889738	  -6.928444769332922	  -6.928444769332922	 110.265051380584325	 127.406785597139674	   0.037425082611408
    0	    1	 108.972868999732071	  -6.863562053845221	  -6.863562053845221	 113.390754505146546	 131.101166668425719	   0.036394982973843
    0	    1	 112.150631675357559	  -6.799224278429503	  -6.799224278429503	 116.603932098171697	 134.901757769498090	   0.035385202978545
